"FIPS","county_area_sq_mi"
"16085",3664.52
"16087",1452.98
"17000",55518.93
"17001",855.2
"17003",235.51
"17005",380.28
"17007",280.72
"17009",305.61
"17011",869.03
"17013",253.83
"17015",444.81
"17017",375.82
"17019",996.27
"17021",709.38
"17023",501.42
"17025",468.32
"17027",474.09
"17029",508.29
"17031",945.33
"17033",443.63
"17035",346.02
"17037",631.31
"17039",397.51
"17041",416.67
"17043",327.5
"17045",623.37
"17047",222.42
"17049",478.78
"17051",716.48
"17053",485.62
"17055",408.89
"17057",865.6
"17059",323.07
"17061",543.02
"17063",418.04
"17065",434.67
"17067",793.73
"17069",177.53
"17071",378.87
"17073",822.99
"17075",1117.32
"17077",584.08
"17079",494.51
"17081",571.17
"17083",369.27
"17085",601.09
"17087",343.92
"17089",520.06
"17091",676.56
"17093",320.34
"17095",716.4
"17097",443.67
"17099",1135.12
"17101",372.18
"17103",724.9
"17105",1044.29
"17107",618.06
"17109",589.41
"17111",603.17
"17113",1183.38
"17115",580.69
"17117",862.91
"17119",715.58
"17121",572.36
"17123",386.79
"17125",539.24
"17127",237.22
"17129",314.44
"17131",561.2
"17133",385.01
"17135",703.69
"17137",568.79
"17139",335.94
"17141",758.57
"17143",619.21
"17145",441.76
"17147",439.2
"17149",831.38
"17151",368.77
"17153",199.19
"17155",160.16
"17157",575.5
"17159",359.99
"17161",427.64
"17163",657.76
"17165",379.82
"17167",868.3
"17169",437.27
"17171",250.91
"17173",758.52
"17175",288.08
"17177",564.52
"17179",648.97
"17181",413.46
"17183",898.37
"17185",223.25
"17187",542.41
"17189",562.57
"17191",713.81
"17193",494.77
"17195",684.25
"17197",836.91
"17199",420.15
"17201",513.36
"17203",527.8
"18000",35826.11
"18001",339.03
"18003",657.31
"18005",406.91
"18007",406.42
"18009",165.08
"18011",422.91
"18013",311.98
"18015",372.22
"18017",412.16
"18019",372.86
"18021",357.54
"18023",405.07
"18025",305.64
"18027",429.49
"18029",305.03
"18031",372.57
"18033",362.82
"18035",392.12
"18037",427.27
"18039",463.17
"18041",215.01
"18043",147.94
"18045",395.66
"18047",384.43
"18049",368.39
"18051",487.49
"18053",414.07
"18055",542.5
"18057",394.27
"18059",306.02
"18061",484.52
"18063",406.91
"18065",391.88
"18067",293.06
"18069",382.65
"18071",509.31
"18073",559.63
"18075",383.91
"18077",360.63
"18079",376.58
"18081",320.43
"18083",516.03
"18085",531.38
"18087",379.62
"18089",498.96
"18091",598.3
"18093",449.17
"18095",451.92
"18097",396.3
"18099",443.63
"18101",335.74
"18103",373.84
"18105",394.51
"18107",504.61
"18109",403.97
"18111",401.76
"18113",410.84
"18115",86.14
"18117",398.39
"18119",385.29
"18121",444.66
"18123",381.73
"18125",334.24
"18127",418.15
"18129",409.57
"18131",433.65
"18133",480.53
"18135",452.38
"18137",446.43
"18139",408.12
"18141",457.85
"18143",190.4
"18145",411.15
"18147",396.74
"18149",309.13
"18151",308.94
"18153",447.14
"18155",220.63
"18157",499.81
"18159",260.54
"18161",161.22
"18163",233.48
"18165",256.88
"18167",403.31
"18169",412.43
"18171",364.68
"18173",384.82
"18175",513.73
"18177",401.74
"18179",368.09
"18181",505.13
"18183",335.57
"19000",55857.13
"19001",569.27
"19003",423.44
"19005",639.08
"19007",497.29
"19009",442.96
"19011",716.27
"19013",565.77
"19015",571.57
"19017",435.48
"19019",571.02
"19021",574.92
"19023",580.13
"19025",569.97
"19027",569.44
"19029",564.27
"19031",579.44
"19033",568.31
"19035",576.91
"19037",504.38
"19039",431.17
"19041",567.24
"19043",778.54
"19045",694.92
"19047",714.19
"19049",588.45
"19051",502.19
"19053",531.88
"19055",577.76
"19057",416.12
"19059",380.61
"19061",608.31
"19063",395.88
"19065",730.81
"19067",500.63
"19069",581.97
"19071",511.15
"19073",569.57
"19075",501.86
"19077",590.62
"19079",576.75
"19081",571.01
"19083",569.31
"19085",696.85
"19087",434.33
"19089",473.25
"19091",434.35
"19093",431.51
"19095",586.46
"19097",636.04
"19099",730.42
"19101",435.51
"19103",614.04
"19105",575.62
"19107",579.18
"19109",972.72
"19111",517.52
"19113",716.88
"19115",401.77
"19117",430.59
"19119",587.65
"19121",561.01
"19123",570.86
"19125",554.53
"19127",572.5
"19129",437.44
"19131",469.13
"19133",694.07
"19135",433.72
"19137",424.1
"19139",437.47
"19141",573.04
"19143",398.68
"19145",534.94
"19147",563.84
"19149",862.89
"19151",577.24
"19153",573.8
"19155",950.28
"19157",584.93
"19159",535.5
"19161",575.01
"19163",458.09
"19165",590.78
"19167",768.33
"19169",572.82
"19171",721.01
"19173",531.9
"19175",423.65
"19177",484.79
"19179",431.83
"19181",569.83
"19183",568.84
"19185",525.44
"19187",715.62
"19189",400.49
"19191",689.87
"19193",872.83
"19195",400.12
"19197",580.42
"20000",81758.72
"20001",500.3
"20003",579.65
"20005",431.17
"20007",1134.07
"20009",895.4
"20011",635.47
"20013",570.87
"20015",1429.86
"20017",773.06
"20019",638.88
"20021",587.57
"20023",1019.89
"20025",974.63
"20027",645.3
"20029",715.34
"20031",626.95
"20033",788.3
"20035",1125.75
"20037",589.76
"20039",893.52
"20041",847.07
"20043",393.41
"20045",455.87
"20047",621.89
"20049",644.27
"20051",899.91
"20053",715.85
"20055",1301.97
"20057",1098.27
"20059",571.76
"20061",384.62
"20063",1071.67
"20065",898.52
"20067",574.8
"20069",868.87
"20071",778.45
"20073",1143.3
"20075",996.51
"20077",801.27
"20079",539.75
"20081",577.52
"20083",859.99
"20085",656.22
"20087",532.57
"20089",909.78
"20091",473.38
"20093",870.54
"20095",863.36
"20097",722.64
"20099",645.3
"20101",717.46
"20103",462.83
"20105",719.4
"20107",594.06
"20109",1072.99
"20111",847.47
"20113",898.27
"20115",944.29
"20117",900.18
"20119",978.09
"20121",575.66
"20123",701.79
"20125",643.53
"20127",695.28
"20129",729.73
"20131",717.43
"20133",571.47
"20135",1074.75
"20137",878.13
"20139",705.52
"20141",892.5
"20143",720.73
"20145",754.26
"20147",885.88
"20149",841.02
"20151",735.05
"20153",1069.42
"20155",1255.35
"20157",717.37
"20159",726.24
"20161",609.77
"20163",890.53
"20165",717.76
"20167",886.26
"20169",720.23
"20171",717.54
"20173",997.51
"20175",639.5
"20177",544.02
"20179",895.96
"20181",1056.07
"20183",895.47
"20185",792.05
"20187",680.35
"20189",727.29
"20191",1181.94
"20193",1074.69
"20195",889.48
"20197",794.3
"20199",913.65
"20201",894.76
"20203",718.57
"20205",570.42
"20207",497.82
"20209",151.6
"21000",39486.34
"21001",405.28
"21003",344.34
"21005",201.83
"21007",246.66
"21009",487.54
"21011",278.79
"21013",359
"21015",246.36
"21017",289.72
"21019",159.86
"21021",180.17
"21023",205.61
"21025",492.41
"21027",567.17
"21029",297.02
"21031",426.09
"21033",344.79
"21035",385.02
"21037",151.31
"21039",189.43
"21041",128.57
"21043",409.5
"21045",444.23
"21047",717.5
"21049",252.46
"21051",469.25
"21053",197.25
"21055",359.95
"21057",305.18
"21059",458.35
"21061",302.88
"21063",234.32
"21065",253.08
"21067",283.65
"21069",348.54
"21071",393.35
"21073",207.75
"21075",205.5
"21077",101.23
"21079",230.08
"21081",257.97
"21083",551.74
"21085",496.7
"21087",286.03
"21089",344.4
"21091",187.65
"21093",623.28
"21095",465.83
"21097",306.36
"21099",412.09
"21101",436.67
"21103",286.28
"21105",242.27
"21107",542
"21109",345.2
"21111",380.42
"21113",172.12
"21115",261.95
"21117",160.25
"21119",351.52
"21121",386.3
"21123",261.52
"21125",433.95
"21127",415.6
"21129",208.86
"21131",400.84
"21133",337.91
"21135",482.84
"21137",334.1
"21139",313.13
"21141",552.13
"21143",213.84
"21145",248.74
"21147",426.8
"21149",252.47
"21151",437.29
"21153",308.44
"21155",343.01
"21157",301.25
"21159",229.61
"21161",240.13
"21163",305.42
"21165",203.59
"21167",248.8
"21169",289.65
"21171",329.37
"21173",197.37
"21175",381.13
"21177",467.08
"21179",417.51
"21181",195.17
"21183",587.27
"21185",187.22
"21187",351.1
"21189",197.41
"21191",277.16
"21193",339.67
"21195",786.83
"21197",178.98
"21199",658.41
"21201",99.91
"21203",316.55
"21205",279.8
"21207",253.66
"21209",281.77
"21211",379.64
"21213",234.2
"21215",186.68
"21217",266.33
"21219",374.5
"21221",441.43
"21223",151.65
"21225",342.85
"21227",541.6
"21229",297.27
"21231",458.17
"21233",331.94
"21235",437.83
"21237",222.17
"21239",188.78
"22000",43203.9
"22001",655.12
"22003",761.85
"22005",289.98
"22007",338.66
"22009",832.43
"22011",1157.34
"22013",811.27
"22015",840.06
"22017",878.54
"22019",1063.66
"22021",529.43
"22023",1284.89
"22025",708.03
"22027",754.88
"22029",696.92
"22031",875.58
"22033",455.37
"22035",420.7
"22037",453.41
"22039",662.38
"22041",624.59
"22043",643.03
"22045",574.11
"22047",618.63
"22049",569.18
"22051",295.63
"22053",651.33
"22055",268.72
"22057",1068.21
"22059",624.68
"22061",471.74
"22063",648.17
"22065",624.44
"22067",794.93
"22069",1252.25
"22071",169.42
"22073",610.41
"22075",779.91
"22077",557.35
"22079",1317.96
"22081",389.09
"22083",559.04
"22085",866.66
"22087",377.52
"22089",279.08
"22091",408.4
"22093",241.54
"22095",213.07
"22097",923.88
"22099",737.65
"22101",555.38
"22103",845.55
"22105",791.28
"22107",602.78
"22109",1231.82
"22111",876.99
"22113",1173.2
"22115",1327.91
"22117",669.53
"22119",593.03
"22121",192.39
"22123",359.65
"22125",403.21
"22127",950.09
"23000",30842.92
"23001",467.93
"23003",6671.33
"23005",835.24
"23007",1696.61
"23009",1586.89
"23011",867.52
"23013",365.13
"23015",455.82
"23017",2076.84
"23019",3397.36
"23021",3960.86
"23023",253.7
"23025",3924.4
"23027",729.92
"23029",2562.66
"23031",990.71
"24000",9707.24
"24001",424.16
"24003",414.9
"24005",598.3
"24009",213.15
"24011",319.42
"24013",447.6
"24015",346.27
"24017",457.75
"24019",540.77
"24021",660.22
"24023",647.1
"24025",437.09
"24027",250.74
"24029",277.03
"24031",491.25
"24033",482.69
"24035",371.91
"24037",357.18
"24039",319.72
"24041",268.54
"24043",457.78
"24045",374.44
"24047",468.28
"24510",80.94
"25000",7800.06
"25001",393.72
"25003",926.83
"25005",553.1
"25007",103.25
"25009",492.56
"25011",699.32
"25013",617.14
"25015",527.26
"25017",817.82
"25019",44.97
"25021",396.11
"25023",659.08
"25025",58.15
"25027",1510.77
"26000",56538.9
"26001",674.59
"26003",915.07
"26005",825.23
"26007",571.86
"26009",475.7
"26011",363.19
"26013",898.26
"26015",553.09
"26017",442.3
"26019",319.7
"26021",567.75
"26023",506.37
"26025",706.23
"26027",490.06
"26029",416.34
"26031",715.26
"26033",1558.42
"26035",564.32
"26037",566.41
"26039",556.28
"26041",1171.1
"26043",761.4
"26045",575.18
"26047",467.49
"26049",636.98
"26051",501.78
"26053",1101.85
"26055",464.33
"26057",568.46
"26059",598.13
"26061",1009.1
"26063",835.71
"26065",556.12
"26067",571.3
"26069",549.1
"26071",1166.15
"26073",572.68
"26075",701.67
"26077",561.66
"26079",559.87
"26081",846.95
"26083",540.11
"26085",567.37
"26087",643.01
"26089",347.17
"26091",749.56
"26093",565.25
"26095",899.08
"26097",1021.57
"26099",479.22
"26101",542.15
"26103",1808.4
"26105",495.07
"26107",555.07
"26109",1044.08
"26111",516.25
"26113",564.73
"26115",549.39
"26117",705.4
"26119",546.66
"26121",499.25
"26123",813.2
"26125",867.66
"26127",512.07
"26129",563.49
"26131",1311.23
"26133",566.39
"26135",565.73
"26137",514.97
"26139",563.47
"26141",658.72
"26143",519.64
"26145",800.11
"26147",721.17
"26149",500.59
"26151",962.57
"26153",1171.36
"26155",530.67
"26157",803.13
"26159",607.47
"26161",705.97
"26163",612.08
"26165",565
"27000",79626.74
"27001",1821.66
"27003",423.01
"27005",1315.2
"27007",2504.94
"27009",408.3
"27011",499.02
"27013",747.84
"27015",611.09
"27017",861.38
"27019",354.33
"27021",2021.54
"27023",581.12
"27025",414.86
"27027",1045.37
"27029",998.94
"27031",1452.28
"27033",638.61
"27035",999.1
"27037",562.17
"27039",439.28
"27041",637.3
"27043",712.48
"27045",861.3
"27047",707.09
"27049",756.84
"27051",548.16
"27053",553.59
"27055",552.06
"27057",925.68
"27059",435.79
"27061",2667.72
"27063",702.98
"27065",521.59
"27067",796.79
"27069",1098.8
"27071",3104.07
"27073",765.02
"27075",2109.29
"27077",1297.87
"27079",448.76
"27081",536.76
"27083",714.56
"27085",491.47
"27087",557.88
"27089",1775.07
"27091",712.35
"27093",608.18
"27095",572.31
"27097",1125.06
"27099",711.33
"27101",704.7
"27103",448.49
"27105",715.11
"27107",872.79
"27109",653.35
"27111",1972.07
"27113",616.57
"27115",1411.29
"27117",465.06
"27119",1971.13
"27121",669.71
"27123",152.21
"27125",432.41
"27127",878.57
"27129",982.91
"27131",495.68
"27133",482.46
"27135",1671.6
"27137",6247.4
"27139",356.48
"27141",432.92
"27143",588.78
"27145",1343.13
"27147",429.65
"27149",563.6
"27151",742.08
"27153",944.98
"27155",573.9
"27157",522.98
"27159",536.27
"27161",423.36
"27163",384.28
"27165",434.95
"27167",750.96
"27169",626.21
"27171",661.46
"27173",759.1
"28000",46923.27
"28001",462.41
"28003",400.04
"28005",730.1
"28007",734.98
"28009",406.62
"28011",876.57
"28013",586.57
"28015",628.24
"28017",501.78
"28019",418.18
"28021",487.41
"28023",691.55
"28025",410.08
"28027",552.44
"28029",777.24
"28031",413.79
"28033",476.15
"28035",466.31
"28037",563.78
"28039",478.71
"28041",712.76
"28043",422.11
"28045",473.75
"28047",573.99
"28049",869.74
"28051",756.7
"28053",418.49
"28055",413.05
"28057",532.79
"28059",722.75
"28061",676.24
"28063",519.93
"28065",408.44
"28067",694.8
"28069",766.18
"28071",631.71
"28073",497.06
"28075",703.63
"28077",430.67
"28079",583
"28081",449.95
"28083",592.54
"28085",586.12
"28087",505.51
"28089",714.51
"28091",542.38
"28093",706.19
"28095",765.09
"28097",406.98
"28099",570.14
"28101",578.1
"28103",695.14
"28105",458.2
"28107",685.14
"28109",810.86
"28111",647.25
"28113",409.02
"28115",497.69
"28117",414.98
"28119",405.01
"28121",775.49
"28123",609.19
"28125",431.72
"28127",589.16
"28129",636.25
"28131",445.49
"28133",697.75
"28135",645.29
"28137",404.76
"28139",457.82
"28141",424.25
"28143",454.67
"28145",415.6
"28147",403.94
"28149",588.5
"28151",724.74
"28153",810.75
"28155",420.94
"28157",678.11
"28159",607.25
"28161",467.13
"28163",922.95
"29000",68741.52
"29001",567.32
"29003",432.7
"29005",547.3
"29007",692.24
"29009",778.25
"29011",591.92
"29013",836.69
"29015",704.06
"29017",617.91
"29019",685.41
"29021",408.03
"29023",694.67
"29025",426.39
"29027",834.58
"29029",655.92
"29031",578.54
"29033",694.62
"29035",507.36
"29037",696.84
"29039",474.48
"29041",751.18
"29043",562.65
"29045",504.69
"29047",397.3
"29049",418.96
"29051",393.75
"29053",564.77
"29055",742.52
"29057",490.01
"29059",540.77
"29061",563.24
"29063",421.36
"29065",752.79
"29067",813.63
"29069",541.07
"29071",922.68
"29073",517.8
"29075",491.42
"29077",675.3
"29079",435.28
"29081",722.5
"29083",696.95
"29085",399.09
"29087",462.69
"29089",463.85
"29091",927.25
"29093",550.26
"29095",604.46
"29097",638.49
"29099",656.63
"29101",829.28
"29103",504.01
"29105",764.72
"29107",628.43
"29109",611.74
"29111",505.04
"29113",626.56
"29115",615.56
"29117",532.33
"29119",539.48
"29121",801.23
"29123",494.39
"29125",526.98
"29127",436.92
"29129",453.84
"29131",592.6
"29133",411.58
"29135",415.03
"29137",647.65
"29139",536.25
"29141",597.63
"29143",674.84
"29145",624.77
"29147",876.96
"29149",789.8
"29151",604.35
"29153",744.97
"29155",492.54
"29157",474.35
"29159",682.22
"29161",671.78
"29163",670.44
"29165",420.19
"29167",635.52
"29169",547.1
"29171",517.32
"29173",469.78
"29175",482.68
"29177",568.81
"29179",808.48
"29181",629.54
"29183",560.44
"29185",669.98
"29186",499.15
"29187",451.89
"29189",507.8
"29195",755.5
"29197",307.3
"29199",436.67
"29201",419.99
"29203",1003.82
"29205",500.86
"29207",823.22
"29209",464.03
"29211",647.98
"29213",632.44
"29215",1177.27
"29217",826.4
"29219",428.6
"29221",759.91
"29223",759.18
"29225",592.56
"29227",266.61
"29229",681.77
"29510",61.91
"30000",145545.8
"30001",5541.62
"30003",4995.46
"30005",4227.55
"30007",1192.54
"30009",2048.79
"30011",3340.75
"30013",2698.16
"30015",3972.49
"30017",3783.36
"30019",1426.11
"30021",2371.87
"30023",736.53
"30025",1620.77
"30027",4339.8
"30029",5087.66
"30031",2602.69
"30033",4675.36
"30035",2995.94
"30037",1175.34
"30039",1727.42
"30041",2898.96
"30043",1656.26
"30045",1869.82
"30047",1490.15
"30049",3458.83
"30051",1430.05
"30053",3612.92
"30055",2643.17
"30057",3587.48
"30059",2391.91
"30061",1219.44
"30063",2593.42
"30065",1868.16
"30067",2803.06
"30069",1654.87
"30071",5140.04
"30073",1622.86
"30075",3297.3
"30077",2326.39
"30079",1736.74
"30081",2390.82
"30083",2084.14
"30085",2354.79
"30087",5010.4
"30089",2760.52
"30091",1677.08
"30093",718.48
"30095",1795.35
"30097",1855.21
"30099",2272.38
"30101",1915.65
"30103",977.4
"30105",4925.82
"30107",1423.2
"30109",889.27
"30111",2633.29
"30113",0
"31000",76824.17
"31001",563.27
"31003",857.22
"31005",715.36
"31007",746.11
"31009",710.87
"31011",686.55
"31013",1075.29
"31015",539.94
"31017",1221.33
"31019",968.11
"31021",491.58
"31023",584.91
"31025",557.45
"31027",740.31
"31029",894.42
"31031",5960.42
"31033",1196.29
